klubek,99.15,56577,5177,1110,14353,36
Piotrekol,99.2,71188,5176,400,3916,723
-ReimuHakurei-,97.82,50540,5172,16,701,510
Reginald,99.11,23736,5171,61,920,195
Jameslike,98.77,23657,5164,24,557,247
Emula,98.37,49523,5162,48,1196,267
ARUMOH,98.91,47670,5156,81,1008,228
ToGlette,99.1,50054,5153,301,1423,1484
momotayan,98.66,22798,5141,165,1201,326
Neab,99.1,83314,5137,709,3152,742
winber1,98.14,73962,5133,35,1283,1619
Manzz,98.83,47731,5129,64,813,556
Siegrein,99.03,45826,5127,158,694,9
Osama,98.28,92753,5124,58,1201,721
Paran,98.38,57878,5123,69,807,730
Electro,96.93,38603,5118,46,2029,808
[ Rachel ],97.98,37514,5115,184,1387,665
MathClass,97.17,52740,5106,112,894,492
outohere,98.17,45936,5105,88,1129,541
UADJ,97.26,49544,5100,572,1949,688
Mayoi Hachikuji,98.2,77714,5097,51,871,579
Runya,98.43,11942,5094,65,806,886
anticlone111,98.63,33587,5089,124,1811,454
Jann,98.72,70856,5084,144,2013,252
Fallist,98.39,45904,5082,190,809,435
JunoSword,99.21,31404,5080,127,599,285
Newbieuser,98.14,10318,5077,17,548,473
Shiawase,96.83,43175,5075,102,1977,467
Demmon,99.49,61866,5068,655,1515,525
Airis,97.54,44143,5067,347,2129,395
Asahi,98.06,96242,5058,133,3362,395
ethox,98.68,79291,5047,58,760,326
Deathosaurus,98.88,48471,5045,235,1576,386
Nucoin,98.51,76030,5138,100,2783,1097
DJ_Nyanodesu,99.08,68016,5136,103,878,595
Spring Roll,98.77,27381,5129,78,1348,337
johnko1234,97.75,88383,5128,93,1938,800
Elinia,99.06,53860,5126,310,1469,658
Froke,98.2,64456,5124,57,1167,824
FluxVanes,98.22,42305,5122,10,619,329
Soarezi,98.26,71058,5118,90,1112,588
[ Saturn ],99.22,45641,5110,233,1563,490
XZ19126,99.2,43937,5106,279,986,383
CXu,98.67,74328,5105,757,3004,77
p732778731,98.82,47595,5097,191,1715,628
Deus EX,96.35,68685,5095,31,3190,1402
TobuTobs,98.01,61473,5094,59,1562,668
sammy711,97.71,81087,5089,167,845,477
Saya-Hommei,97.95,52907,5082,140,883,129
KaosFR,97.32,31197,5082,31,774,414
Skyar,98.23,59757,5080,536,5801,2141
Risteel,99.69,54982,5077,1694,1063,3
Bass,98.35,94358,5075,299,4392,1291
KinkehW,99.16,44840,5068,204,1410,214
Tachibana Isana,97.2,92205,5066,52,1393,383
MrDalis,97.36,80917,5048,50,996,815
Aeven,98.88,87854,5046,529,2607,222
I will be back,99.19,89325,5045,987,907,558
Emell,99.17,92313,5041,625,1860,44
-RInx-,99.02,58058,5034,126,1407,264
Supy,99.4,125448,5031,410,1984,95
- S a M o M i -,97.57,19936,5030,12,328,1
AdveNt,98.98,64406,5026,129,2014,447
RamenOtaku,98.11,43935,5025,282,2256,91
yukiotokoNy,98.72,65351,5024,181,715,75
momijixi,99.31,27419,5023,260,687,396
HaQu,98.14,54639,5021,65,1461,704
-Hakase-,99.08,9999,5018,199,553,59
Nectarine,98.01,36362,5016,24,398,293
Rikuu,99.29,34322,5016,355,1908,295
S a d,99.64,47624,5013,234,518,274
Returnxps,97.92,53165,5011,139,762,214
ocococ4444,98.5,26979,5004,79,976,410
N a n a m i,97.88,46094,5004,37,954,620
[ Listen ],98.41,48645,4998,86,797,549
novak,98.1,71852,4993,60,2146,792
Maozis,99.32,35539,4985,420,680,18
Aria Stardust,99.66,41736,4983,1579,550,31
UtiDa_K,98.16,29190,4981,62,913,344
NixXSkate,98.62,104450,4978,2284,188,15
BloodM0nk,98.31,66666,4975,50,982,496
Takei Hisa,99.27,49698,4974,161,876,47
Blue Dragon,97.34,65854,4972,215,2497,721
Peace,98.39,20159,5038,198,1194,159
Hidari Handoru,98.34,48618,5032,278,3309,990
gasanww,99.03,132499,5031,617,2928,132
terra-,98.65,56430,5028,227,1757,196
[Aumoa],98.14,19121,5025,113,1074,718
azuraer,98.84,61916,5024,1495,2428,31
-MrPotato-,98.26,47636,5023,60,685,455
uzuran,98.77,92491,5021,344,2442,622
Babii,98.81,48109,5020,62,1024,696
O p e n,98.66,19861,5017,73,889,569
F I L L,98.52,27836,5016,19,1318,479
